profile_image_url,description,id,protected,verified,username,location,url,pinned_tweet_id,name,created_at,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.mentions,entities.description.urls,entities.description.hashtags,screenName,party
https://pbs.twimg.com/profile_images/567682729915850752/7YZ3ZmcF_normal.jpeg,,1459541623,False,False,sandereggen,,,,Stéphane Andereggen,2013-05-26T12:26:47.000Z,68.0,63.0,37.0,2.0,,,,,sandereggen,Green
https://pbs.twimg.com/profile_images/1506227504142589956/P7x5DPxq_normal.jpg,Member of Swiss Parliament | Nationalrätin,3257088023,False,False,sibelarslanbs,"Basel, Basel-Stadt",,,𝗦𝗶𝗯𝗲𝗹 𝗔𝗿𝘀𝗹𝗮𝗻,2015-05-15T16:22:34.000Z,7335.0,464.0,3926.0,145.0,,,,,sibelarslanbs,Green
https://pbs.twimg.com/profile_images/999575963552829440/emZN8RJq_normal.jpg,"Avocate à #Neuchâtel, Vice-Présidente des Verts Suisse, Députée au Grand Conseil neuchâtelois",2998021035,False,False,varaceline,,https://t.co/H2AZZ9zJOB,,Céline Vara,2015-01-25T16:09:06.000Z,1223.0,459.0,405.0,68.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/H2AZZ9zJOB', 'expanded_url': 'http://www.etudevara.ch', 'display_url': 'etudevara.ch'}]",,,"[{'start': 10, 'end': 20, 'tag': 'Neuchâtel'}]",varaceline,Green
https://pbs.twimg.com/profile_images/1167038008022974465/v2qYdG1x_normal.jpg,Fachärztin Allgemeine Innere Medizin FMH Zentralvorstand @doctorfmh,107695453,False,False,yvonnegilli,"Wil, St. Gallen",,,Yvonne Gilli,2010-01-23T12:04:55.000Z,1031.0,269.0,160.0,81.0,,"[{'start': 57, 'end': 67, 'username': 'doctorfmh'}]",,,yvonnegilli,Green
https://pbs.twimg.com/profile_images/1373978402257051652/LoSgGJ5Y_normal.jpg,Gemeinderat der Stadt Zürich / Member of the city parliament of Zurich. Twittert privat in English and German 🇺🇸🇩🇪🇪🇸🇨🇭,250650617,False,False,adsangines,"Zurich, Switzerland",https://t.co/HWTs0MJVnU,,Alan David Sangines,2011-02-11T14:36:55.000Z,1517.0,1649.0,5041.0,56.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/HWTs0MJVnU', 'expanded_url': 'https://www.instagram.com/greenlanternzh', 'display_url': 'instagram.com/greenlanternzh'}]",,,,adsangines,SP
https://pbs.twimg.com/profile_images/1459596398639386630/6xmJyUw-_normal.jpg,Werde hier alle meine Gefühle nach aussen kehren. Seelenfrei. eigentlich verkopft. zu wenig Herzmensch,72811364,False,False,alein93,,,,gefühlswelten,2009-09-09T09:29:01.000Z,120.0,376.0,74.0,5.0,,,,,alein93,SP
https://pbs.twimg.com/profile_images/1523237342194147330/adNFAybH_normal.jpg,,2200152908,False,False,ameliebargetzi,Zurich,,,Bargetzi Amélie,2013-11-17T20:24:57.000Z,15.0,0.0,88.0,3.0,,,,,ameliebargetzi,SP
https://pbs.twimg.com/profile_images/1477616159671394305/TW2kdCsc_normal.jpg,"Leiterin Abteilung Soziales Herzogenbuchsee, SP, Berner Schuldenberatung, Stiftungsrat Karolinenheim, Alumni BFH Soziale Arbeit",410678629,False,False,andrealuthi,"Burgdorf BE, Schweiz",,,Andrea Lüthi,2011-11-12T12:24:39.000Z,737.0,357.0,1886.0,26.0,,,,,andrealuthi,SP
https://pbs.twimg.com/profile_images/571379638249586688/MekvdhH-_normal.jpeg,Mensch,3064480845,False,False,anetleh,Bern,https://t.co/7oYfGeibvA,,Annette Lehmann,2015-02-27T18:36:56.000Z,775.0,714.0,570.0,27.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/7oYfGeibvA', 'expanded_url': 'http://www.annettelehmann.ch', 'display_url': 'annettelehmann.ch'}]",,,,anetleh,SP
https://pbs.twimg.com/profile_images/970233596521967616/rqmSBHLd_normal.jpg,"Ich fahre nicht Auto. Ich geniesse mein Leben in vollen Zügen! *fabe | vpod, sp",442530817,False,False,anundfuereuch,Aarau,,,Claudia Mauchle ✌🏽,2011-12-21T06:20:17.000Z,604.0,390.0,2019.0,29.0,,,,,anundfuereuch,SP
