username,id,created_at,name,verified,profile_image_url,description,protected,location,url,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.hashtags,entities.description.urls,pinned_tweet_id,entities.description.mentions
SenTuberville,1345739193721487362,2021-01-03T14:30:13.000Z,Coach Tommy Tuberville,True,https://pbs.twimg.com/profile_images/1366463622537502722/cxpUZDqQ_normal.jpg,United States Senator for the great state of Alabama.,False,"Washington, DC",https://t.co/Zv8nNEfKYA,20809,255,2240,381,"[{'start': 0, 'end': 23, 'url': 'https://t.co/Zv8nNEfKYA', 'expanded_url': 'http://tuberville.senate.gov', 'display_url': 'tuberville.senate.gov'}]",,,,
RepBobGood,1345536897838436353,2021-01-03T01:06:17.000Z,Congressman Bob Good,True,https://pbs.twimg.com/profile_images/1345769186568626179/a8SJKYld_normal.jpg,"Proudly serving the 5th Congressional District of Virginia. Member of @EdLaborGOP, @HouseBudgetGOP & @FreedomCaucus",False,,https://t.co/IdAq0PoZpo,11076,137,833,331,"[{'start': 0, 'end': 23, 'url': 'https://t.co/IdAq0PoZpo', 'expanded_url': 'https://good.house.gov/', 'display_url': 'good.house.gov'}]",,,1540370555945340928,"[{'start': 70, 'end': 81, 'username': 'EdLaborGOP'}, {'start': 83, 'end': 98, 'username': 'HouseBudgetGOP'}, {'start': 101, 'end': 115, 'username': 'FreedomCaucus'}]"
RepNikema,1345461797361504259,2021-01-02T20:08:08.000Z,Congresswoman Nikema Williams,True,https://pbs.twimg.com/profile_images/1418655414338547719/uPk5QWrn_normal.jpg,Working for the people #OutLoudOnPurpose. Proudly representing #GA05🍑. Member of @FSCDems and @TransportDems. 117th Congress Freshman Class President. She/Her,False,Georgia,https://t.co/b6eptbELMi,14922,880,2865,284,"[{'start': 0, 'end': 23, 'url': 'https://t.co/b6eptbELMi', 'expanded_url': 'http://nikemawilliams.house.gov', 'display_url': 'nikemawilliams.house.gov'}]","[{'start': 23, 'end': 40, 'tag': 'OutLoudOnPurpose'}, {'start': 63, 'end': 68, 'tag': 'GA05'}]",,,"[{'start': 81, 'end': 89, 'username': 'FSCDems'}, {'start': 94, 'end': 108, 'username': 'TransportDems'}]"
RepTeresaLF,1345147845926670337,2021-01-01T23:21:40.000Z,Rep. Teresa Leger Fernández,True,https://pbs.twimg.com/profile_images/1362134515699834888/H8hmmCXU_normal.jpg,Working to protect what we love. Mom of 3. Proudly serving New Mexico’s 3rd Congressional District.,False,,https://t.co/qIcwdEiHmR,6923,251,1814,224,"[{'start': 0, 'end': 23, 'url': 'https://t.co/qIcwdEiHmR', 'expanded_url': 'https://fernandez.house.gov/', 'display_url': 'fernandez.house.gov'}]",,,1571877364384305152,
RepFeenstra,1345135363761852416,2021-01-01T22:31:08.000Z,Rep. Randy Feenstra,True,https://pbs.twimg.com/profile_images/1345385050683142144/uLQ4buVG_normal.jpg,Delivering results for the people of Iowa's 4th Congressional District.,False,"Hull, Iowa",https://t.co/KvzHt2bCpf,6286,494,1451,217,"[{'start': 0, 'end': 23, 'url': 'https://t.co/KvzHt2bCpf', 'expanded_url': 'http://feenstra.house.gov', 'display_url': 'feenstra.house.gov'}]",,,1466183752539856897,
RepSaraJacobs,1345103905869455361,2021-01-01T20:26:39.000Z,Congresswoman Sara Jacobs,True,https://pbs.twimg.com/profile_images/1405318967628021761/cmMWWgRY_normal.jpg,"Representing #CA53 and a new generation of leaders. Member of House Dem Steering and Policy Committee, @HouseForeign, @HASCDemocrats, and @FairGrowthCmte.",False,,https://t.co/t9pGLmVcMY,19397,77,1872,304,"[{'start': 0, 'end': 23, 'url': 'https://t.co/t9pGLmVcMY', 'expanded_url': 'http://sarajacobs.house.gov', 'display_url': 'sarajacobs.house.gov'}]","[{'start': 13, 'end': 18, 'tag': 'CA53'}]",,1557042855193055232,"[{'start': 103, 'end': 116, 'username': 'HouseForeign'}, {'start': 118, 'end': 132, 'username': 'HASCDemocrats'}, {'start': 138, 'end': 153, 'username': 'FairGrowthCmte'}]"
RepSpartz,1344845201479663621,2021-01-01T03:19:03.000Z,Rep. Victoria Spartz,True,https://pbs.twimg.com/profile_images/1344919879481135104/G5I-RPbt_normal.jpg,Representing Indiana’s 5th Congressional District,False,,https://t.co/rjavGaMlVC,27660,401,1021,310,"[{'start': 0, 'end': 23, 'url': 'https://t.co/rjavGaMlVC', 'expanded_url': 'https://spartz.house.gov', 'display_url': 'spartz.house.gov'}]",,,,
RepRosendale,1344751420139040783,2020-12-31T21:05:04.000Z,Matt Rosendale,True,https://pbs.twimg.com/profile_images/1517167423534682112/ektN0Uw__normal.jpg,"Representing the State of Montana. Husband, Father, Sportsman.",False,"Montana, USA",https://t.co/ddH97fAVA8,15885,268,1704,323,"[{'start': 0, 'end': 23, 'url': 'https://t.co/ddH97fAVA8', 'expanded_url': 'https://rosendale.house.gov/', 'display_url': 'rosendale.house.gov'}]",,,,
RepMalliotakis,1344750588026900481,2020-12-31T21:02:13.000Z,Office of Rep. Nicole Malliotakis,True,https://pbs.twimg.com/profile_images/1345790652416745477/f-Vnpg1e_normal.jpg,"Congresswoman for #NY11, former NY State Assemblymember, proud daughter of Greek & Cuban immigrants | Member of @HouseForeignGOP @TransportGOP & @SelectGOP",False,,https://t.co/oxYjTXtKnr,14464,321,1526,296,"[{'start': 0, 'end': 23, 'url': 'https://t.co/oxYjTXtKnr', 'expanded_url': 'http://malliotakis.house.gov', 'display_url': 'malliotakis.house.gov'}]","[{'start': 18, 'end': 23, 'tag': 'NY11'}]",,1572710318463242240,"[{'start': 112, 'end': 128, 'username': 'HouseForeignGOP'}, {'start': 129, 'end': 142, 'username': 'TransportGOP'}, {'start': 145, 'end': 155, 'username': 'SelectGOP'}]"
RepYoungKim,1344677401465397249,2020-12-31T16:11:29.000Z,Young Kim,True,https://pbs.twimg.com/profile_images/1456394579310219264/PlwX0GpS_normal.jpg,"Wife, mother, immigrant, small business owner, former CA Assemblywoman. Proud to represent #CA39 & serve on @HouseForeignGOP, @HSBCGOP & @HouseScienceGOP 🇺🇸",False,"La Habra, CA",https://t.co/KClM42E5CO,22701,655,2876,304,"[{'start': 0, 'end': 23, 'url': 'https://t.co/KClM42E5CO', 'expanded_url': 'https://www.facebook.com/RepYoungKim', 'display_url': 'facebook.com/RepYoungKim'}]","[{'start': 91, 'end': 96, 'tag': 'CA39'}]",,,"[{'start': 108, 'end': 124, 'username': 'HouseForeignGOP'}, {'start': 126, 'end': 134, 'username': 'HSBCGOP'}, {'start': 137, 'end': 153, 'username': 'HouseScienceGOP'}]"
RepBurgessOwens,1344481217685692416,2020-12-31T03:11:25.000Z,Rep. Burgess Owens,True,https://pbs.twimg.com/profile_images/1364252715006779392/1g-dP8G9_normal.jpg,Proudly serving Utah's 4th Congressional District. Member of @EdLaborGOP & @JudiciaryGOP.,False,Utah,https://t.co/VD2CpS5ulV,27948,129,834,269,"[{'start': 0, 'end': 23, 'url': 'https://t.co/VD2CpS5ulV', 'expanded_url': 'http://owens.house.gov', 'display_url': 'owens.house.gov'}]",,,1541859925915213826,"[{'start': 61, 'end': 72, 'username': 'EdLaborGOP'}, {'start': 75, 'end': 88, 'username': 'JudiciaryGOP'}]"
RepHerrell,1344416719260016641,2020-12-30T22:55:08.000Z,Rep. Yvette Herrell,True,https://pbs.twimg.com/profile_images/1344420106437353472/RErgo9C8_normal.jpg,U.S. Congresswoman for New Mexico's Second Congressional District. Member of @NatResources and @GOPoversight,False,"New Mexico & Washington, DC",https://t.co/t4spxgsDP8,17833,686,1809,308,"[{'start': 0, 'end': 23, 'url': 'https://t.co/t4spxgsDP8', 'expanded_url': 'http://herrell.house.gov', 'display_url': 'herrell.house.gov'}]",,,,"[{'start': 77, 'end': 90, 'username': 'NatResources'}, {'start': 95, 'end': 108, 'username': 'GOPoversight'}]"
RepBowman,1344389506963808264,2020-12-30T21:07:08.000Z,Congressman Jamaal Bowman,True,https://pbs.twimg.com/profile_images/1345714590869549058/2Evp_Hpa_normal.jpg,"Humbled to serve New York's 16th Congressional District. Vice Chair, @EdLaborCmte & Member, @HouseScience. Providing updates on services and legislation.",False,"Washington, DC",https://t.co/tV1eV6vuER,42110,206,2817,415,"[{'start': 0, 'end': 23, 'url': 'https://t.co/tV1eV6vuER', 'expanded_url': 'https://linktr.ee/RepJamaalBowman', 'display_url': 'linktr.ee/RepJamaalBowman'}]",,,,"[{'start': 69, 'end': 81, 'username': 'EdLaborCmte'}, {'start': 92, 'end': 105, 'username': 'HouseScience'}]"
